%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336387082000067949,1733,1336387082000067949,,526,510,0.113585884
1336387082099305868,1734,1336387082099305868,,533,506,0.197208317
1336387082297777891,1735,1336387082297777891,,525,504,0.145586462
1336387082496251822,1736,1336387082496251822,,521,509,0.155413688
1336387082595489025,1737,1336387082595489025,,530,501,0.164213898
1336387082793962955,1738,1336387082793962955,,531,510,0.16110778
1336387082992436886,1739,1336387082992436886,,529,508,0.158461563
1336387083091673851,1740,1336387083091673851,,533,499,0.160696059
1336387083290148020,1741,1336387083290148020,,523,494,0.153831643
1336387083389384985,1742,1336387083389384985,,541,509,0.170698523
1336387083587858915,1743,1336387083587858915,,521,495,0.14931403
1336387083786331892,1744,1336387083786331892,,530,501,0.14854068
1336387083885570049,1745,1336387083885570049,,533,504,0.162336708
1336387084084043026,1746,1336387084084043026,,528,495,0.144597992
1336387084183279991,1747,1336387084183279991,,535,503,0.17509084
1336387084381753922,1748,1336387084381753922,,528,495,0.162617469
1336387084580227852,1749,1336387084580227852,,536,504,0.163014304
1336387084679465055,1750,1336387084679465055,,555,530,0.166364873
1336387084877939939,1751,1336387084877939939,,541,513,0.168198207
1336387085076412916,1752,1336387085076412916,,555,529,0.165541855
1336387085175649881,1753,1336387085175649881,,572,548,0.181252171
1336387085374124050,1754,1336387085374124050,,565,540,0.158766765
1336387085572597980,1755,1336387085572597980,,569,539,0.156078508
1336387085771070957,1756,1336387085771070957,,579,552,0.170926205
1336387085870307922,1757,1336387085870307922,,589,564,0.177530745
1336387086068781853,1758,1336387086068781853,,590,554,0.167652743
1336387086267256021,1759,1336387086267256021,,589,568,0.152720958
1336387086366492987,1760,1336387086366492987,,599,576,0.196660272
1336387086564966917,1761,1336387086564966917,,585,556,0.178205624
1336387086763442039,1762,1336387086763442039,,593,569,0.178003294
1336387086961913824,1763,1336387086961913824,,589,557,0.184372118
1336387087160387993,1764,1336387087160387993,,584,567,0.183557769
1336387087358861923,1765,1336387087358861923,,584,557,0.17820667
1336387087557337999,1766,1336387087557337999,,579,544,0.175048517
1336387087656574011,1767,1336387087656574011,,584,554,0.175567229
1336387087855046034,1768,1336387087855046034,,576,545,0.176715002
1336387088053520918,1769,1336387088053520918,,574,544,0.175361266
1336387088251993895,1770,1336387088251993895,,575,549,0.1591481
1336387088351232052,1771,1336387088351232052,,590,556,0.189570336
1336387088549705982,1772,1336387088549705982,,578,545,0.196649168
1336387088748180866,1773,1336387088748180866,,585,551,0.181889054
1336387088946652889,1774,1336387088946652889,,588,553,0.185244227
1336387089145128012,1775,1336387089145128012,,589,562,0.170713329
1336387089343602896,1776,1336387089343602896,,586,552,0.173370858
1336387089542075872,1777,1336387089542075872,,590,565,0.178596805
1336387089641186953,1778,1336387089641186953,,600,573,0.197097408
1336387089839660883,1779,1336387089839660883,,595,565,0.182192235
1336387090038135052,1780,1336387090038135052,,601,578,0.190013128
1336387090236608028,1781,1336387090236608028,,596,573,0.183098077
1336387090435081959,1782,1336387090435081959,,595,573,0.177798445
1336387090633555889,1783,1336387090633555889,,596,571,0.198713953
1336387090832030058,1784,1336387090832030058,,601,574,0.18146239
1336387091030505896,1785,1336387091030505896,,601,585,0.193254813
1336387091228977919,1786,1336387091228977919,,603,583,0.186776337
1336387091427451849,1787,1336387091427451849,,609,585,0.188916971
1336387091625924826,1788,1336387091625924826,,614,595,0.178336431
1336387091824398994,1789,1336387091824398994,,618,597,0.189737255
1336387092022872925,1790,1336387092022872925,,617,589,0.184930084
1336387092221346855,1791,1336387092221346855,,613,593,0.191745333
1336387092419821024,1792,1336387092419821024,,611,583,0.18562598
1336387092618294954,1793,1336387092618294954,,613,581,0.199356004
1336387092816768885,1794,1336387092816768885,,614,590,0.188295734
1336387093015243053,1795,1336387093015243053,,619,595,0.174282574
1336387093114480019,1796,1336387093114480019,,618,595,0.198059051
1336387093312953949,1797,1336387093312953949,,619,589,0.177816256
1336387093511427879,1798,1336387093511427879,,615,590,0.189719448
1336387093709900856,1799,1336387093709900856,,618,602,0.187885974
1336387093908375025,1800,1336387093908375025,,621,600,0.187788336
1336387094106849909,1801,1336387094106849909,,622,595,0.198022735
1336387094305322886,1802,1336387094305322886,,615,585,0.150909273
1336387094503797054,1803,1336387094503797054,,618,593,0.16233524
1336387094702270985,1804,1336387094702270985,,613,584,0.200403063
1336387094900744915,1805,1336387094900744915,,618,586,0.179639256
1336387095099218845,1806,1336387095099218845,,617,593,0.177805785
1336387095297691822,1807,1336387095297691822,,614,582,0.171637115
1336387095396929026,1808,1336387095396929026,,616,583,0.187582517
